[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run ParseTemplate Behavior [ RunTime:0.018588s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018771s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_filter ] --START--
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run ContentReplace Behavior [ RunTime:0.001076s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run TokenBuild Behavior [ RunTime:0.001094s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000710s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000913s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004181s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_end ] --START--
